Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
VWCE,Von Willebrand factor C and EGF domains,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
KRTAP4-4,Keratin associated protein 4-4,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
DES,Desmin,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
DPP7,Dipeptidyl peptidase 7,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
KRTAP13-2,Keratin associated protein 13-2,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
PCDH9,Protocadherin 9,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
DPYD,Dihydropyrimidine dehydrogenase,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
GSTK1,Glutathione S-transferase kappa 1,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
MT-CO2,Mitochondrially encoded cytochrome c oxidase II,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
IL10RB,Interleukin 10 receptor subunit beta,1.3 µg/L,1.3,�g/L,1.3,1.3,0.378511623,-0.104268077,0.458478305,
ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
SEMA3A,Semaphorin 3A,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
HEPH,Hephaestin,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
LGMN,Legumain,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
HMOX2,Heme oxygenase 2,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
EBI3,Epstein-Barr virus induced 3,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
TMEM248,Transmembrane protein 248,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
MDK,Midkine,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
CDH6,Cadherin 6,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
ACADM,Acyl-CoA dehydrogenase medium chain,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
MAN1C1,Mannosidase alpha class 1C member 1,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
COX6B1,Cytochrome c oxidase subunit 6B1,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
LAMA5,Laminin subunit alpha 5,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
BIN1,Bridging integrator 1,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
FAM129B,Family with sequence similarity 129 member B,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
DOK2,Docking protein 2,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
C16orf89,Chromosome 16 open reading frame 89,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
ZG16B,Zymogen granule protein 16B,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
S100P,S100 calcium binding protein P,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
PA2G4,Proliferation-associated 2G4,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
CES3,Carboxylesterase 3,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
VMO1,Vitelline membrane outer layer 1 homolog,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
NCCRP1,Non-specific cytotoxic cell receptor protein 1 homolog (zebrafish),1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
ASAH2,N-acylsphingosine amidohydrolase 2,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
PCDH18,Protocadherin 18,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
SND1,Staphylococcal nuclease and tudor domain containing 1,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
BPIFA1,BPI fold containing family A member 1,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
APRT,Adenine phosphoribosyltransferase,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
KRTAP4-2,Keratin associated protein 4-2,1.2 µg/L,1.2,�g/L,1.2,1.2,0.263034406,-0.125790477,0.44994889,
ITGAL,Integrin subunit alpha L,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
PAFAH1B1,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
PYCARD,PYD and CARD domain containing,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
NNT,Nicotinamide nucleotide transhydrogenase,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
TRAP1,TNF receptor associated protein 1,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
PTPN12,"Protein tyrosine phosphatase, non-receptor type 12",1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
LRRC4,Leucine rich repeat containing 4,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
ILF3,Interleukin enhancer binding factor 3,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
SRSF1,Serine and arginine rich splicing factor 1,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
HINT2,Histidine triad nucleotide binding protein 2,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
CLPS,Colipase,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
HADHB,Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
MFGE8,Milk fat globule-EGF factor 8 protein,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
ALDH9A1,Aldehyde dehydrogenase 9 family member A1,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
PFKM,"Phosphofructokinase, muscle",1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
SIGLEC7,Sialic acid binding Ig like lectin 7,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
RPS9,Ribosomal protein S9,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
EFEMP2,EGF containing fibulin extracellular matrix protein 2,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
RAB37,"RAB37, member RAS oncogene family",1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
SYCN,Syncollin,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
MAN1A2,Mannosidase alpha class 1A member 2,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
TAPBP,TAP binding protein,1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
PRKDC,"Protein kinase, DNA-activated, catalytic polypeptide",1.1 µg/L,1.1,�g/L,1.1,1.1,0.137503524,-0.149186658,0.440703174,
CACNA2D2,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
GCLM,Glutamate-cysteine ligase modifier subunit,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
MAT2B,Methionine adenosyltransferase 2B,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
TG,Thyroglobulin,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
NDST1,N-deacetylase and N-sulfotransferase 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
OXCT1,3-oxoacid CoA-transferase 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
LRRFIP2,LRR binding FLII interacting protein 2,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
AP1B1,Adaptor related protein complex 1 beta 1 subunit,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
HPN,Hepsin,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
VAT1,Vesicle amine transport 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
RAB5B,"RAB5B, member RAS oncogene family",1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
CLIC5,Chloride intracellular channel 5,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
IL1R1,Interleukin 1 receptor type 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
CD46,CD46 molecule,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
RPLP1,Ribosomal protein lateral stalk subunit P1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
COX17,"COX17, cytochrome c oxidase copper chaperone",1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
PTGR2,Prostaglandin reductase 2,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
EIF4A2,Eukaryotic translation initiation factor 4A2,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
AKR7A3,Aldo-keto reductase family 7 member A3,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
SYK,Spleen associated tyrosine kinase,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
CTNNB1,Catenin beta 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
NPTX1,Neuronal pentraxin 1,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
TBCA,Tubulin folding cofactor A,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
RPS7,Ribosomal protein S7,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
COPB2,Coatomer protein complex subunit beta 2,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
EPHB4,EPH receptor B4,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
GMFB,Glia maturation factor beta,1.0 µg/L,1,�g/L,1,1,0,-0.174814274,0.430612786,
XYLT2,Xylosyltransferase 2,990 ng/L,990,ng/L,0.99,0.99,-0.01449957,-0.177516674,0.429551285,
MEP1A,Meprin A subunit alpha,990 ng/L,990,ng/L,0.99,0.99,-0.01449957,-0.177516674,0.429551285,
FAM49B,Family with sequence similarity 49 member B,990 ng/L,990,ng/L,0.99,0.99,-0.01449957,-0.177516674,0.429551285,
TFF1,Trefoil factor 1,990 ng/L,990,ng/L,0.99,0.99,-0.01449957,-0.177516674,0.429551285,
FKBP3,FK506 binding protein 3,980 ng/L,980,ng/L,0.98,0.98,-0.029146346,-0.180246509,0.428479524,
SEC22B,"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)",980 ng/L,980,ng/L,0.98,0.98,-0.029146346,-0.180246509,0.428479524,
CD209,CD209 molecule,970 ng/L,970,ng/L,0.97,0.97,-0.043943348,-0.183004343,0.427397306,
GNPDA1,Glucosamine-6-phosphate deaminase 1,970 ng/L,970,ng/L,0.97,0.97,-0.043943348,-0.183004343,0.427397306,
GNG11,G protein subunit gamma 11,970 ng/L,970,ng/L,0.97,0.97,-0.043943348,-0.183004343,0.427397306,
COX4I1,Cytochrome c oxidase subunit 4I1,970 ng/L,970,ng/L,0.97,0.97,-0.043943348,-0.183004343,0.427397306,
ANXA6,Annexin A6,970 ng/L,970,ng/L,0.97,0.97,-0.043943348,-0.183004343,0.427397306,
LY75,Lymphocyte antigen 75,960 ng/L,960,ng/L,0.96,0.96,-0.058893689,-0.185790756,0.426304427,
CLIP2,CAP-Gly domain containing linker protein 2,960 ng/L,960,ng/L,0.96,0.96,-0.058893689,-0.185790756,0.426304427,
NIT2,Nitrilase family member 2,960 ng/L,960,ng/L,0.96,0.96,-0.058893689,-0.185790756,0.426304427,
KLK7,Kallikrein related peptidase 7,960 ng/L,960,ng/L,0.96,0.96,-0.058893689,-0.185790756,0.426304427,
PRF1,Perforin 1,960 ng/L,960,ng/L,0.96,0.96,-0.058893689,-0.185790756,0.426304427,
SLC39A14,Solute carrier family 39 member 14,950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
PTPRZ1,"Protein tyrosine phosphatase, receptor type Z1",950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
AHNAK,AHNAK nucleoprotein,950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
KLK8,Kallikrein related peptidase 8,950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
MAT2A,Methionine adenosyltransferase 2A,950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
MCFD2,Multiple coagulation factor deficiency 2,950 ng/L,950,ng/L,0.95,0.95,-0.074000581,-0.188606347,0.425200679,
SCARF1,Scavenger receptor class F member 1,940 ng/L,940,ng/L,0.94,0.94,-0.089267338,-0.191451732,0.424085846,
PTGR1,Prostaglandin reductase 1,940 ng/L,940,ng/L,0.94,0.94,-0.089267338,-0.191451732,0.424085846,
GNS,Glucosamine (N-acetyl)-6-sulfatase,940 ng/L,940,ng/L,0.94,0.94,-0.089267338,-0.191451732,0.424085846,
CCL18,C-C motif chemokine ligand 18,940 ng/L,940,ng/L,0.94,0.94,-0.089267338,-0.191451732,0.424085846,
AFP,Alpha fetoprotein,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
C1QBP,Complement C1q binding protein,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
CPD,Carboxypeptidase D,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
ADGRE5,Adhesion G protein-coupled receptor E5,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
PCYOX1L,Prenylcysteine oxidase 1 like,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
GSTM2,Glutathione S-transferase mu 2,930 ng/L,930,ng/L,0.93,0.93,-0.104697379,-0.194327551,0.422959707,
ARHGAP6,Rho GTPase activating protein 6,920 ng/L,920,ng/L,0.92,0.92,-0.120294234,-0.19723446,0.421822033,
NSFL1C,NSFL1 cofactor,920 ng/L,920,ng/L,0.92,0.92,-0.120294234,-0.19723446,0.421822033,
SEMG2,Semenogelin II,920 ng/L,920,ng/L,0.92,0.92,-0.120294234,-0.19723446,0.421822033,
RAB5A,"RAB5A, member RAS oncogene family",920 ng/L,920,ng/L,0.92,0.92,-0.120294234,-0.19723446,0.421822033,
GAS6,Growth arrest specific 6,920 ng/L,920,ng/L,0.92,0.92,-0.120294234,-0.19723446,0.421822033,
RANBP1,RAN binding protein 1,910 ng/L,910,ng/L,0.91,0.91,-0.13606155,-0.200173139,0.420672587,
GLA,Galactosidase alpha,910 ng/L,910,ng/L,0.91,0.91,-0.13606155,-0.200173139,0.420672587,
ALDH16A1,Aldehyde dehydrogenase 16 family member A1,910 ng/L,910,ng/L,0.91,0.91,-0.13606155,-0.200173139,0.420672587,
EEF1D,Eukaryotic translation elongation factor 1 delta,900 ng/L,900,ng/L,0.9,0.9,-0.152003093,-0.20314429,0.419511127,
TMOD1,Tropomodulin 1,900 ng/L,900,ng/L,0.9,0.9,-0.152003093,-0.20314429,0.419511127,
ITGAM,Integrin subunit alpha M,900 ng/L,900,ng/L,0.9,0.9,-0.152003093,-0.20314429,0.419511127,
ASPH,Aspartate beta-hydroxylase,900 ng/L,900,ng/L,0.9,0.9,-0.152003093,-0.20314429,0.419511127,
CASS4,Cas scaffolding protein family member 4,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
CLEC4M,C-type lectin domain family 4 member M,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
GCA,Grancalcin,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
GDF15,Growth differentiation factor 15,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
IQGAP1,IQ motif containing GTPase activating protein 1,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
PLBD2,Phospholipase B domain containing 2,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
BAG3,BCL2 associated athanogene 3,890 ng/L,890,ng/L,0.89,0.89,-0.168122759,-0.206148639,0.418337403,
LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,880 ng/L,880,ng/L,0.88,0.88,-0.184424571,-0.209186937,0.417151155,
SET,SET nuclear proto-oncogene,880 ng/L,880,ng/L,0.88,0.88,-0.184424571,-0.209186937,0.417151155,
LPL,Lipoprotein lipase,880 ng/L,880,ng/L,0.88,0.88,-0.184424571,-0.209186937,0.417151155,
YBX1,Y-box binding protein 1,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
ACAT1,Acetyl-CoA acetyltransferase 1,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
WBP2,WW domain binding protein 2,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
KIAA0319L,KIAA0319 like,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
PDXK,Pyridoxal kinase,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
CD300LG,CD300 molecule like family member g,870 ng/L,870,ng/L,0.87,0.87,-0.200912694,-0.212259958,0.415952116,
RPS5,Ribosomal protein S5,860 ng/L,860,ng/L,0.86,0.86,-0.217591435,-0.215368507,0.414740011,
CYB5R1,Cytochrome b5 reductase 1,860 ng/L,860,ng/L,0.86,0.86,-0.217591435,-0.215368507,0.414740011,
STX7,Syntaxin 7,850 ng/L,850,ng/L,0.85,0.85,-0.234465254,-0.218513413,0.413514554,
PPM1A,"Protein phosphatase, Mg2+/Mn2+ dependent 1A",850 ng/L,850,ng/L,0.85,0.85,-0.234465254,-0.218513413,0.413514554,
DDR2,Discoidin domain receptor tyrosine kinase 2,850 ng/L,850,ng/L,0.85,0.85,-0.234465254,-0.218513413,0.413514554,
SEMA4G,Semaphorin 4G,840 ng/L,840,ng/L,0.84,0.84,-0.251538767,-0.221695539,0.412275452,
SF3B1,Splicing factor 3b subunit 1,840 ng/L,840,ng/L,0.84,0.84,-0.251538767,-0.221695539,0.412275452,
ARHGAP18,Rho GTPase activating protein 18,840 ng/L,840,ng/L,0.84,0.84,-0.251538767,-0.221695539,0.412275452,
HNRNPU,Heterogeneous nuclear ribonucleoprotein U,840 ng/L,840,ng/L,0.84,0.84,-0.251538767,-0.221695539,0.412275452,
FUT11,Fucosyltransferase 11,840 ng/L,840,ng/L,0.84,0.84,-0.251538767,-0.221695539,0.412275452,
GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,830 ng/L,830,ng/L,0.83,0.83,-0.268816758,-0.224915774,0.411022399,
RPL4,Ribosomal protein L4,830 ng/L,830,ng/L,0.83,0.83,-0.268816758,-0.224915774,0.411022399,
CRLF3,Cytokine receptor like factor 3,830 ng/L,830,ng/L,0.83,0.83,-0.268816758,-0.224915774,0.411022399,
USP5,Ubiquitin specific peptidase 5,820 ng/L,820,ng/L,0.82,0.82,-0.286304185,-0.228175044,0.409755081,
HSPH1,Heat shock protein family H (Hsp110) member 1,820 ng/L,820,ng/L,0.82,0.82,-0.286304185,-0.228175044,0.409755081,
HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,820 ng/L,820,ng/L,0.82,0.82,-0.286304185,-0.228175044,0.409755081,
LECT2,Leukocyte cell derived chemotaxin 2,820 ng/L,820,ng/L,0.82,0.82,-0.286304185,-0.228175044,0.409755081,
NOTCH4,Notch 4,820 ng/L,820,ng/L,0.82,0.82,-0.286304185,-0.228175044,0.409755081,
LAMA3,Laminin subunit alpha 3,810 ng/L,810,ng/L,0.81,0.81,-0.304006187,-0.231474306,0.408473172,
THSD1,Thrombospondin type 1 domain containing 1,810 ng/L,810,ng/L,0.81,0.81,-0.304006187,-0.231474306,0.408473172,
NPM1,Nucleophosmin 1,810 ng/L,810,ng/L,0.81,0.81,-0.304006187,-0.231474306,0.408473172,
AOC1,"Amine oxidase, copper containing 1",800 ng/L,800,ng/L,0.8,0.8,-0.321928095,-0.234814553,0.407176336,
DLST,Dihydrolipoamide S-succinyltransferase,800 ng/L,800,ng/L,0.8,0.8,-0.321928095,-0.234814553,0.407176336,
MMP19,Matrix metallopeptidase 19,800 ng/L,800,ng/L,0.8,0.8,-0.321928095,-0.234814553,0.407176336,
EFNB1,Ephrin B1,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
UPB1,Beta-ureidopropionase 1,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
CD99L2,CD99 molecule like 2,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
ATP4A,ATPase H+/K+ transporting alpha subunit,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
CPT1A,Carnitine palmitoyltransferase 1A,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
TJP2,Tight junction protein 2,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
CADM3,Cell adhesion molecule 3,790 ng/L,790,ng/L,0.79,0.79,-0.340075442,-0.238196817,0.405864223,
SDHA,Succinate dehydrogenase complex flavoprotein subunit A,780 ng/L,780,ng/L,0.78,0.78,-0.358453971,-0.241622169,0.404536471,
PPM1F,"Protein phosphatase, Mg2+/Mn2+ dependent 1F",780 ng/L,780,ng/L,0.78,0.78,-0.358453971,-0.241622169,0.404536471,
HIBADH,3-hydroxyisobutyrate dehydrogenase,780 ng/L,780,ng/L,0.78,0.78,-0.358453971,-0.241622169,0.404536471,
CYB5A,Cytochrome b5 type A,780 ng/L,780,ng/L,0.78,0.78,-0.358453971,-0.241622169,0.404536471,
PHB2,Prohibitin 2,780 ng/L,780,ng/L,0.78,0.78,-0.358453971,-0.241622169,0.404536471,
ITGA7,Integrin subunit alpha 7,770 ng/L,770,ng/L,0.77,0.77,-0.377069649,-0.24509172,0.403192707,
ANGPTL2,Angiopoietin like 2,770 ng/L,770,ng/L,0.77,0.77,-0.377069649,-0.24509172,0.403192707,
CCL21,C-C motif chemokine ligand 21,770 ng/L,770,ng/L,0.77,0.77,-0.377069649,-0.24509172,0.403192707,
PLAUR,"Plasminogen activator, urokinase receptor",760 ng/L,760,ng/L,0.76,0.76,-0.395928676,-0.248606625,0.401832542,
XPNPEP1,X-prolyl aminopeptidase 1,760 ng/L,760,ng/L,0.76,0.76,-0.395928676,-0.248606625,0.401832542,
EFNB2,Ephrin B2,760 ng/L,760,ng/L,0.76,0.76,-0.395928676,-0.248606625,0.401832542,
LTBP3,Latent transforming growth factor beta binding protein 3,760 ng/L,760,ng/L,0.76,0.76,-0.395928676,-0.248606625,0.401832542,
ITGAV,Integrin subunit alpha V,750 ng/L,750,ng/L,0.75,0.75,-0.415037499,-0.252168088,0.400455572,
DOK3,Docking protein 3,750 ng/L,750,ng/L,0.75,0.75,-0.415037499,-0.252168088,0.400455572,
MIA3,"MIA family member 3, ER export factor",750 ng/L,750,ng/L,0.75,0.75,-0.415037499,-0.252168088,0.400455572,
GUCA2B,Guanylate cyclase activator 2B,740 ng/L,740,ng/L,0.74,0.74,-0.434402824,-0.255777356,0.39906138,
KHSRP,KH-type splicing regulatory protein,740 ng/L,740,ng/L,0.74,0.74,-0.434402824,-0.255777356,0.39906138,
DECR1,"2,4-dienoyl-CoA reductase 1",740 ng/L,740,ng/L,0.74,0.74,-0.434402824,-0.255777356,0.39906138,
TMX1,Thioredoxin related transmembrane protein 1,740 ng/L,740,ng/L,0.74,0.74,-0.434402824,-0.255777356,0.39906138,
ANP32A,Acidic nuclear phosphoprotein 32 family member A,740 ng/L,740,ng/L,0.74,0.74,-0.434402824,-0.255777356,0.39906138,
SNX3,Sorting nexin 3,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
SUMF2,Sulfatase modifying factor 2,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
SERPINH1,Serpin family H member 1,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
GOLIM4,Golgi integral membrane protein 4,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
RPLP2,Ribosomal protein lateral stalk subunit P2,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
CLDN5,Claudin 5,730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
HLA-DPB1,"Major histocompatibility complex, class II, DP beta 1",730 ng/L,730,ng/L,0.73,0.73,-0.454031631,-0.259435731,0.397649532,
SDF4,Stromal cell derived factor 4,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
DNASE2,"Deoxyribonuclease 2, lysosomal",720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
PCDH12,Protocadherin 12,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
EPHX2,Epoxide hydrolase 2,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
RPL11,Ribosomal protein L11,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
ATP5PF,ATP synthase peripheral stalk subunit F6,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
CD1D,CD1d molecule,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
COL11A2,Collagen type XI alpha 2 chain,720 ng/L,720,ng/L,0.72,0.72,-0.473931188,-0.263144569,0.396219576,
PLP2,Proteolipid protein 2,710 ng/L,710,ng/L,0.71,0.71,-0.49410907,-0.26690528,0.394771046,
GNPDA2,Glucosamine-6-phosphate deaminase 2,710 ng/L,710,ng/L,0.71,0.71,-0.49410907,-0.26690528,0.394771046,
